rest_id,restaurant,link,cusine,rating,price
119,Mad Over Donuts,https://www.zomato.com/bangalore/mad-over-donuts-brigade-road/order,"Desserts, Waffle, Beverages",4.1,₹250 for one
120,FB Cakes,https://www.zomato.com/bangalore/fb-cakes-marathahalli-bangalore/order,Bakery,3.8,₹250 for one
121,ITC Master Chef Creations,https://www.zomato.com/bangalore/itc-master-chef-creations-banaswadi-bangalore/order,"North Indian, Biryani, Mughlai, Kebab, Rolls, Desserts, Modern Indian",4.1,₹250 for one
122,Ambur Biryani Point,https://www.zomato.com/bangalore/ambur-biryani-point-koramangala-1st-block/order,Biryani,4.3,₹250 for one
123,Chung Wah,https://www.zomato.com/bangalore/chung-wah-residency-road/order,"Chinese, Thai, Vietnamese, Sichuan",4.1,₹250 for one
124,Donne Biriyani House,https://www.zomato.com/bangalore/donne-biriyani-house-kammanahalli-bangalore/order,"Biryani, South Indian",3.5,₹250 for one
125,Laddoos,https://www.zomato.com/bangalore/laddoos-jeevan-bhima-nagar/order,"Mithai, North Indian, Street Food",3.9,₹250 for one
126,Chaayos Chai+Snacks=Relax,https://www.zomato.com/bangalore/chaayos-chai-snacks-relax-cv-raman-nagar-bangalore/order,"Tea, Beverages",4.2,₹250 for one
127,Cream Stone Ice Cream,https://www.zomato.com/bangalore/cream-stone-ice-cream-frazer-town-bangalore/order,"Ice Cream, Desserts, Beverages, Shake",4.0,₹250 for one
128,Cupcake Bliss Cakes & Desserts,https://www.zomato.com/bangalore/cupcake-bliss-cakes-desserts-kaggadasapura-bangalore/order,"Bakery, Desserts",4.0,₹250 for one
129,Yumlane Pizza,https://www.zomato.com/bangalore/yumlane-pizza-kaggadasapura-bangalore/order,"Pizza, Fast Food, Desserts, Beverages",3.3,₹250 for one
130,Starbucks Coffee,https://www.zomato.com/bangalore/starbucks-coffee-mg-road-bangalore/order,"Cafe, Beverages, Desserts",3.9,₹300 for one
131,Krispy Kreme,https://www.zomato.com/bangalore/krispy-kreme-richmond-road/order,"Desserts, Beverages",4.5,₹300 for one
132,Momo Zone - The Momo Company,https://www.zomato.com/bangalore/momo-zone-the-momo-company-kaggadasapura-bangalore/order,"Chinese, Tibetan",3.9,₹300 for one
133,Just Shawarma,https://www.zomato.com/bangalore/just-shawarma-kalyan-nagar-bangalore/order,"Lebanese, Fast Food, Beverages",3.6,₹300 for one
134,IDC Kitchen,https://www.zomato.com/bangalore/idc-kitchen-residency-road-bangalore/order,"South Indian, Beverages",4.1,₹300 for one
135,Donne Biriyani Mane,https://www.zomato.com/bangalore/donne-biriyani-mane-cv-raman-nagar-bangalore/order,"Biryani, South Indian, Chinese, North Indian, Seafood",3.2,₹300 for one
136,Sweet Truth - Cake and Desserts,https://www.zomato.com/bangalore/sweet-truth-cake-and-desserts-thippasandra-bangalore/order,"Desserts, Bakery",4.1,₹300 for one
137,ibaco,https://www.zomato.com/bangalore/ibaco-brigade-road-bangalore/order,"Ice Cream, Bakery, Desserts",4.4,₹300 for one
138,Itminaan Matka Biryani - Slow Cooked,https://www.zomato.com/bangalore/itminaan-matka-biryani-slow-cooked-indiranagar-bangalore/order,"Biryani, North Indian, Desserts",4.2,₹300 for one
139,Sreeraj Lassi Bar,https://www.zomato.com/bangalore/sreeraj-lassi-bar-commercial-street/order,"Beverages, Shake, Ice Cream, Desserts",4.3,₹300 for one
140,Pure Veg Meals By LunchBox,https://www.zomato.com/bangalore/pure-veg-meals-by-lunchbox-airport-road-bangalore/order,North Indian,4.0,₹300 for one
141,Hotel Revoli Inn,https://www.zomato.com/bangalore/hotel-revoli-inn-shanti-nagar-bangalore/order,"Chinese, North Indian, Mughlai",4.0,₹300 for one
142,GOPIZZA,https://www.zomato.com/bangalore/gopizza-2-banaswadi-bangalore/order,"Pizza, Fast Food",3.8,₹300 for one
143,Donne Biriyanis Junction,https://www.zomato.com/bangalore/donne-biriyanis-junction-kammanahalli-bangalore/order,"Biryani, South Indian",3.5,₹300 for one
144,Pasta Street,https://www.zomato.com/bangalore/pasta-street-koramangala-4th-block-bangalore/order,"Pasta, Pizza, Italian, European, Salad, Desserts, Beverages",4.1,₹300 for one
145,New Tandoor,https://www.zomato.com/bangalore/new-tandoor-cv-raman-nagar/order,"North Indian, Chinese, Mughlai, Rolls, Biryani, Seafood",3.9,₹300 for one
146,Daily Sushi,https://www.zomato.com/bangalore/daily-sushi-church-street-bangalore/order,"Japanese, Korean, Sushi, Asian",3.9,₹300 for one
